Company,Fuel_Type,CC,HP,Speed,Acceleration,Price,Torque,Seats,Price_Log,Torque_Log,CC_Scaled,HP_Scaled,Speed_Scaled,Acceleration_Scaled
NISSAN,Petrol,3799.0,600.0,315.0,2.9,113000.0,637.0,4.0,11.635151947212842,6.45833828334479,0.5241408799421559,1.3141097364242997,1.8589870081014364,-1.4146916241372558
NISSAN,Petrol,3696.0,332.0,250.0,4.7,30000.0,366.0,2.0,10.308985993422082,5.905361848054571,0.47000324351821265,0.11024239009117145,0.6328166540087526,-0.8696969893081973
NISSAN,Petrol,2998.0,400.0,290.0,4.1,40000.0,475.0,2.0,10.596659732783579,6.16541785423142,0.10312877532488886,0.41570126901151744,1.3873830257580964,-1.0513618675845502
NISSAN,Petrol,2488.0,188.0,225.0,7.3,25000.0,380.0,5.0,10.12667110305036,5.942799375126701,-0.1649313661917231,-0.5366117064460318,0.1612126716654128,-0.08248251677733504
NISSAN,Petrol,3498.0,300.0,240.0,5.8,35000.0,354.0,5.0,10.463131911491967,5.872117789475416,0.3659328356352927,-0.03350296469487372,0.4441750610714167,-0.5366447124682171
NISSAN,Petrol,1998.0,149.0,200.0,8.2,20000.0,240.0,5.0,9.90353755128617,5.484796933490655,-0.4224793452959189,-0.7118013575915244,-0.3103913106779271,0.19001480063719406
NISSAN,Petrol,2488.0,201.0,200.0,7.5,28000.0,270.0,5.0,10.239995502805316,5.602118820879701,-0.1649313661917231,-0.47821515606420095,-0.3103913106779271,-0.02192755735188404
NISSAN,Petrol,3498.0,284.0,225.0,6.5,35000.0,351.0,7.0,10.463131911491967,5.863631175598097,0.3659328356352927,-0.1053756420878963,0.1612126716654128,-0.32470235447913876
NISSAN,Petrol,3799.0,310.0,180.0,6.8,30000.0,381.0,5.0,10.308985993422082,5.945420608606575,0.5241408799421559,0.0114174586757654,-0.6876744965525989,-0.2338699153409624
NISSAN,Petrol,5598.0,400.0,200.0,5.9,40000.0,560.0,5.0,10.596659732783579,6.329720905522696,1.469709888938989,0.41570126901151744,-0.3103913106779271,-0.5063672327554916
ASTON MARTIN,Hybrid,6496.0,1160.0,402.0,2.5,3200000.0,900.0,2.0,14.978661680269907,6.803505257608338,1.9417059812564743,3.8296534451800905,3.500168866656259,-1.5358015429881577
ASTON MARTIN,Hybrid,3996.0,1000.0,362.0,2.5,1100000.0,1000.0,2.0,13.910821646859095,6.90875477931522,0.627685679704455,3.1109266712498647,2.7456024949069153,-1.5358015429881577
ASTON MARTIN,Petrol,5204.0,715.0,340.0,3.4,316000.0,900.0,2.0,12.663500657121004,6.803505257608338,1.2626202894143908,1.8306946051866495,2.330590990444776,-1.2633042255736284
